Major,Course Name,Credits,Prerequisites,Category
Accounting BS,ACTG 451 - Taxation of Corporations and Other Entities,3,ACTG 211  with a minimum grade of C-,upper-division accounting core requirements
Accounting BS,ACTG 460 - Auditing,3,"ACTG 330, ACTG 339, with a minimum grade of C- in each prerequisite",upper-division accounting core requirements
Accounting BS,ACTG 461 - Accounting Analytics,3,"accounting major, ACTG 339  and ACTG 460, equivalent, with a minimum grade of C- in each prerequisite",upper-division accounting core requirements
Accounting BS,ACTG 320 - Cost Accounting I,3,ACTG 211  with a minimum grade of C-,upper-division accounting core requirements
Accounting BS,"ACTG 441 - Not-For Profit and Government Accounting, and International Accounting",3,"ACTG 331, equivalent, with a minimum grade of C-",upper-division accounting core requirements
Accounting BS,BUS 475 - Business Policy: An International Perspective,3,"senior standing, completion of lower and upper-division core requirements",upper-division capstone requirement
Animation and Visual Effects BFA,"FTV 140 - Introduction to Film and Media Aesthetics, Lecture and Laboratory",3,N/A,core requirements
Animation and Visual Effects BFA,AVE 120 - Introduction to Animation and Visual Effects,3,"animation and visual effects, film production, film and television production major, game development programming, production design for film, visual effects minor, animation and visual effects themed inquiry",core requirements
Animation and Visual Effects BFA,AVE 109 - Fundamental Graphics I for Animation and Visual Effects,3,animation and visual effects major,core requirements
Animation and Visual Effects BFA,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory",3,"DCFMA major, advertising, documentary film, production design for film, television minor",core requirements
Animation and Visual Effects BFA,SW 127 - Writing for Film and TV I,3,N/A,core requirements
Animation and Visual Effects BFA,AVE 209 - Fundamental Graphics II for Animation and Visual Effects,3,"AVE 109, animation and visual effects major",core requirements
Animation and Visual Effects BFA,AVE 310 - Animation and Visual Effects: Evenings with the Experts,3,N/A,core requirements
Animation and Visual Effects BFA,AVE 323 - Color and Design: Principles and Practice,3,"AVE 209, animation and visual effects major",core requirements
Animation and Visual Effects BFA,AVE 206 - Mechanics of Motion,3,major in animation & visual effects,core requirements
Animation and Visual Effects BFA,AVE 247 - History and Aesthetics of Animation and Visual Effects,3,"Dodge College major, game development programming minor, visual effects minor, animation and visual effects themed inquiry",core requirements
Animation and Visual Effects BFA,AVE 496 - Senior Thesis I: Concept Development,3,"AVE 249  with a B-, better, animation and visual effects major",core requirements
Animation and Visual Effects BFA,AVE 498 - Senior Thesis III: Production II and Post-Production,3,"AVE 497, animation and visual effects major",core requirements
Animation and Visual Effects BFA,AVE 497 - Senior Thesis II: Pre-Production and Production I,3,"AVE 202A  OR AVE 202B, and AVE 496, animation and visual effects major",core requirements
Animation and Visual Effects BFA,AVE 249 - Storytelling in Animation and Visual Effects,3,"AVE 247  and animation and visual effects major, animation and visual effects themed inquiry",animation area of study - 2D
Animation and Visual Effects BFA,AVE 256A - Beginning Character Animation for 2D,3,"AVE 206  and animation and visual effects major, animation and visual effects themed inquiry",animation area of study - 2D
Animation and Visual Effects BFA,AVE 202A - 2D Computer Graphics I,3,AVE 206 ,animation area of study - 2D
Animation and Visual Effects BFA,AVE 302A - 2D Computer Graphics II,3,N/A,animation area of study - 2D
Animation and Visual Effects BFA,AVE 309 - Figure Drawing for Animators,3,AVE 209 ,animation area of study - 2D
Animation and Visual Effects BFA,AVE 354 - Storyboarding and Story Reels,3,"AVE 249  with a B-, better, animation and visual effects major",animation area of study - 2D
Animation and Visual Effects BFA,AVE 355 - Production Design for Animation and Visual Effects,3,"AVE 249  with a B-, better, AVE 323, animation and visual effects major",animation area of study - 2D
Animation and Visual Effects BFA,AVE 356A - Intermediate Character Animation for 2D,3,"AVE 249  with a B-, better and AVE 256A, AVE 256B  and animation and visual effects major",animation area of study - 2D
Animation and Visual Effects BFA,AVE 385 - Character Design,3,"AVE 209, animation and visual effects major",animation area of study - 2D
Animation and Visual Effects BFA,AVE 357 - Writing for Animation,3,"SW 127, SW 128, TWP 127, TWP 128, AVE 249  and animation and visual effects, screenwriting, writing for film and television, television writing and prodution major",animation area of study - 2D
Animation and Visual Effects BFA,AVE 454 - Advanced Storyboards and Character Layout,3,AVE 354 ,animation area of study - 2D
Animation and Visual Effects BFA,AVE 249 - Storytelling in Animation and Visual Effects,3,"AVE 247  and animation and visual effects major, animation and visual effects themed inquiry",animation area of study - CG
Animation and Visual Effects BFA,AVE 302B - 3D Computer Graphics II,3,"AVE 202B  with B-, better, AVE 249  with B-, better and animation and visual effects major, animation and visual effects, digital arts cluster",animation area of study - CG
Animation and Visual Effects BFA,AVE 354 - Storyboarding and Story Reels,3,"AVE 249  with a B-, better, animation and visual effects major",animation area of study - CG
Animation and Visual Effects BFA,AVE 256B - Beginning Character Animation for CG,3,"AVE 206  and animation and visual effects major, animation and visual effects themed inquiry",animation area of study - CG
Animation and Visual Effects BFA,AVE 202B - 3D Computer Graphics I,3,"AVE 120  and animation and visual effects major, visual effects minor, game design minor, digital arts cluster",animation area of study - CG
Animation and Visual Effects BFA,AVE 355 - Production Design for Animation and Visual Effects,3,"AVE 249  with a B-, better, AVE 323, animation and visual effects major",animation area of study - CG
Animation and Visual Effects BFA,AVE 357 - Writing for Animation,3,"SW 127, SW 128, TWP 127, TWP 128, AVE 249  and animation and visual effects, screenwriting, writing for film and television, television writing and prodution major",animation area of study - CG
Animation and Visual Effects BFA,AVE 356B - Intermediate Character Animation for CG,3,"AVE 249  with a B-, better and AVE 256A, AVE 256B  and animation and visual effects major, animation and visual effects themed inquiry",animation area of study - CG
Animation and Visual Effects BFA,AVE 385 - Character Design,3,"AVE 209, animation and visual effects major",animation area of study - CG
Animation and Visual Effects BFA,AVE 392 - Advanced Pre-visualization for Motion Pictures,3,"AVE 202B  with a B-, better",animation area of study - CG
Animation and Visual Effects BFA,AVE 456B - Advanced Character Animation for CG,3,"AVE 356A, AVE 356B, animation and visual effects major",animation area of study - CG
Animation and Visual Effects BFA,AVE 242 - Compositing for Visual Effects,3,"AVE 120, animation and visual effects major, game development programming minor, VFX minor",visual effects area of study
Animation and Visual Effects BFA,AVE 342 - Virtual Production Workshop for Animation and Visual Effects,3,AVE 372 ,visual effects area of study
Animation and Visual Effects BFA,AVE 256B - Beginning Character Animation for CG,3,"AVE 206  and animation and visual effects major, animation and visual effects themed inquiry",visual effects area of study
Animation and Visual Effects BFA,AVE 369 - Visual Effects: Fundamental Techniques and Technologies,3,"AVE 120, AVE 202B  and Dodge College major, minor, animation and visual effects themed inquiry",visual effects area of study
Animation and Visual Effects BFA,AVE 202B - 3D Computer Graphics I,3,"AVE 120  and animation and visual effects major, visual effects minor, game design minor, digital arts cluster",visual effects area of study
Animation and Visual Effects BFA,AVE 372 - Unreal Engine for Filmmakers,3,N/A,visual effects area of study
Animation and Visual Effects BFA,AVE 379 - Advanced Visual Effects Production and Workflow,3,AVE 369 ,visual effects area of study
Animation and Visual Effects BFA,AVE 382 - Advanced Unreal Engine,3,AVE 372 ,visual effects area of study
Animation and Visual Effects BFA,AVE 392 - Advanced Pre-visualization for Motion Pictures,3,"AVE 202B  with a B-, better",visual effects area of study
Animation and Visual Effects BFA,AVE 402 - Advanced 3D Computer Graphics for Visual Effects,3,"AVE 202B, animation and visual effects major",visual effects area of study
Animation and Visual Effects BFA,AVE 469 - On-Set and Post-Production Visual Effects Supervision,3,"AVE 379, animation and visual effects major, visual effects minor",visual effects area of study
Animation and Visual Effects BFA,CPSC 230 - Computer Science I,3,MATH 100 ,recommended additional courses
Animation and Visual Effects BFA,SW 155 - Short-Form Film and TV Analysis,3,"Screenwriting, Writing for Film and Television major",recommended additional courses
Animation and Visual Effects BFA,FP 237 - Cinematography I,3,"FTV 130  and animation and visual effects, film and television production, film production, television writing and production major, production design for film minor",recommended additional courses
Animation and Visual Effects BFA,FP 293 - Production Design I,3,FTV 130 ,recommended additional courses
Animation and Visual Effects BFA,FP 133 - Audio Techniques,3,FTV 130  and DCFMA major,recommended additional courses
Animation and Visual Effects BFA,FP 333 - Audio Design,3,FP 133 ,recommended additional courses
Animation and Visual Effects BFA,AVE 329 - Experimental Course,1-3,N/A,recommended additional courses
Animation and Visual Effects BFA,HON 373 - Pinocchio & Co: The Puppet Across Media,3,acceptance to the University Honors Program,recommended additional courses
Animation and Visual Effects BFA,FP 481 - Set Decoration,3,N/A,recommended additional courses
Animation and Visual Effects BFA,FP 486 - Costume Design,3,N/A,recommended additional courses
Art BFA,ART 120 - Photographic Imaging,3,N/A,core requirements
Art BFA,ART 122 - Objects and Space,3,"art, art history, graphic design major, minor",core requirements
Art BFA,ART 123 - Painting and Mark Making,3,N/A,core requirements
Art BFA,ART 116 - Ceramics: Form and Surface,3,N/A,core requirements
Art BFA,ART 121 - Intro to Digital Media,3,"art, art history, graphic design major, minor",core requirements
Art BFA,ART 124 - Drawing and Planning,3,N/A,core requirements
Art BFA,ART 125 - Introduction to Transdisciplinary Studio,3,N/A,core requirements
Art BFA,ART 195 - Art and Text,3,N/A,core requirements
Art BFA,ART 296 - Contemporary Gallery Practice,3,N/A,core requirements
Art BFA,ART 384A - Concepts in Contemporary Art: Intersection of Art and Science,3,N/A,three of the following
Art BFA,ART 384D - Concepts in Contemporary Art: Collaborative Practices,3,N/A,three of the following
Art BFA,ART 384E - Concepts in Contemporary Art: Curatorial Practices,3,N/A,three of the following
Art BFA,ART 384C - Concepts in Contemporary Art: Art and Spirituality,3,N/A,three of the following
Art BFA,ART 384B - Concepts in Contemporary Art: Installation,3,N/A,three of the following
Art BFA,ART 384F - Concepts in Contemporary Art: Interdisciplinary Practices,3,N/A,three of the following
Art BFA,ART 384G - Concepts in Contemporary Art: The Origins of Art and Science,3,N/A,three of the following
Art BFA,ART 384A - Concepts in Contemporary Art: Intersection of Art and Science,3,N/A,one of the following
Art BFA,ART 384C - Concepts in Contemporary Art: Art and Spirituality,3,N/A,one of the following
Art BFA,ART 384B - Concepts in Contemporary Art: Installation,3,N/A,one of the following
Art BFA,ART 384D - Concepts in Contemporary Art: Collaborative Practices,3,N/A,one of the following
Art BFA,ART 384E - Concepts in Contemporary Art: Curatorial Practices,3,N/A,one of the following
Art BFA,ART 384F - Concepts in Contemporary Art: Interdisciplinary Practices,3,N/A,one of the following
Art BFA,ART 384G - Concepts in Contemporary Art: The Origins of Art and Science,3,N/A,one of the following
Art BFA,ART 490 - Independent Internship,½-3,"junior, senior standing, consent of instructor",one of the following
Art BFA,ART 308 - Hybrid Painting,3,ART 123 ,five of the following medium-specific studio courses
Art BFA,ART 410A - Special Studies in Ceramics,1-3,ART 315 ,five of the following medium-specific studio courses
Art BFA,ART 315 - Advanced Ceramics,3,"ART 115, ART 116, ART 117 ",five of the following medium-specific studio courses
Art BFA,ART 313 - Advanced Sculpture,3,"ART 115, ART 116, ART 117, ART 122 ",five of the following medium-specific studio courses
Art BFA,ART 311 - Life Drawing,3,ART 211 ,five of the following medium-specific studio courses
Art BFA,ART 312 - Advanced Painting: Oils,3,ART 123 ,five of the following medium-specific studio courses
Art BFA,ART 318 - Advanced Drawing,3,N/A,five of the following medium-specific studio courses
Art BFA,ART 300 - Advanced Photography,3,"ART 120  and art, art history, graphic design major, minor, consent of instructor",five of the following medium-specific studio courses
Art BFA,ART 303 - Experimental Photography,3,"ART 120, consent of instructor",five of the following medium-specific studio courses
Art BFA,ART 321 - Topics in Photography,3,"ART 120, consent of instructor, and art, art history, graphic design, studio art major, art minor",five of the following medium-specific studio courses
Art BFA,ART 323 - Digital Studio Photography,3,ART 120 ,five of the following medium-specific studio courses
Art BFA,ART 324 - Video Art,3,"ART 121, consent of instructor, and art, film studies, graphic design major, art, digital imaging and design, graphic design minor",five of the following medium-specific studio courses
Art BFA,ART 325 - Topics in Transdisciplinary Studio,3,N/A,five of the following medium-specific studio courses
Art BFA,ART 344 - Performance Art,3,"ART 325, consent of instructor",five of the following medium-specific studio courses
Art BFA,AH 203 - Exchange and Evolution in the Arts of China and Japan,3,N/A,lower division elective
Art BFA,AH 204 - Introduction to Museum Studies,3,N/A,lower division elective
Art BFA,AH 201 - Renaissance to Modern Art,3,N/A,lower division elective
Art BFA,"AH 202 - Art of India, the Himalayas and Southeast Asia",3,N/A,lower division elective
Art BFA,AH 200 - Ancient to Medieval Art,3,N/A,lower division elective
Art BFA,AH 205 - Arts of the Ancient Americas,3,N/A,lower division elective
Art BFA,AH 331 - History of Photography,3,N/A,upper division elective
Art BFA,AH 332 - Modern Art,3,N/A,upper division elective
Art BFA,AH 336 - The Art of Fashion,3,N/A,upper division elective
Art BFA,AH 334 - Soviet and Post-Soviet Art,3,N/A,upper division elective
Art BFA,AH 340 - Contemporary Art: 1945 - 1970,3,N/A,upper division elective
Art BFA,AH 351 - Brazilian Art: 1500-2000,3,N/A,upper division elective
Art BFA,AH 342 - Black Subjects in White Art History,3,N/A,upper division elective
Art BFA,AH 400 - Cultural Heritage and the Art World,3,N/A,upper division elective
Art BFA,"AH 401 - Gender, Art, and Western Culture",3,N/A,upper division elective
Art BFA,AH 341 - Contemporary Art: 1970 - Present,3,N/A,upper division elective
Art BFA,AH 335 - Theories of Modernism,3,"ART 195, and art, art history, graphic design major, art, art history, graphic design minor",junior and senior seminar courses
Art BFA,ART 497 - Advanced Art: Critique and Exhibition,3,"ART 195, senior standing, and art, studio art major, art minor",junior and senior seminar courses
Art History BA,ART 195 - Art and Text,3,N/A,requirements
Art History BA,AH 498b - Senior Thesis in Art History: Writing,2,"AH 498a, senior standing and art history major, minor",requirements
Art History BA,AH 398 - Good Looking: Writing about Art and Visual Culture,3,"junior standing and ART 195, consent of instructor and art history major, minor",requirements
Art History BA,"AH 202 - Art of India, the Himalayas and Southeast Asia",3,N/A,four of the following
Art History BA,AH 203 - Exchange and Evolution in the Arts of China and Japan,3,N/A,four of the following
Art History BA,AH 201 - Renaissance to Modern Art,3,N/A,four of the following
Art History BA,AH 200 - Ancient to Medieval Art,3,N/A,four of the following
Art History BA,AH 204 - Introduction to Museum Studies,3,N/A,four of the following
Art History BA,AH 205 - Arts of the Ancient Americas,3,N/A,four of the following
Art History BA,AH 305 - Early Greek Art,3,N/A,ancient
Art History BA,AH 205 - Arts of the Ancient Americas,3,N/A,ancient
Art History BA,AH 304 - Etruscan and Roman Art,3,N/A,ancient
Art History BA,AH 300 - Art of Ancient Egypt,3,N/A,ancient
Art History BA,AH 303 - The Ancient Greek City,3,N/A,ancient
Art History BA,AH 306 - Later Greek Art,3,N/A,ancient
Art History BA,AH 379 - Rome: 3000 Years of the Eternal City,3,N/A,ancient
Art History BA,AH 342 - Black Subjects in White Art History,3,N/A,medieval and early modern
Art History BA,AH 325 - Topics in Early Modern Art,3,junior standing,medieval and early modern
Art History BA,AH 324 - The Visual and Material Culture of the Early Modern World (1450-1650),3,N/A,medieval and early modern
Art History BA,AH 310 - Medieval Art,3,N/A,medieval and early modern
Art History BA,AH 323 - Arts of Tenochtitlán-Mexico City,3,N/A,medieval and early modern
Art History BA,AH 350 - Chromophobia-Chromophilia: Color and the Making of the Atlantic World,3,N/A,medieval and early modern
Art History BA,AH 351 - Brazilian Art: 1500-2000,3,N/A,medieval and early modern
Art History BA,AH 379 - Rome: 3000 Years of the Eternal City,3,N/A,medieval and early modern
Art History BA,AH 330 - Nineteenth Century Art,3,N/A,modern
Art History BA,AH 331 - History of Photography,3,N/A,modern
Art History BA,AH 332 - Modern Art,3,N/A,modern
Art History BA,GD 304 - History of Graphic Design,3,"GD 200, GD 201, and graphic design major, art, art history, graphic design minor, consent of instructor",modern
Art History BA,AH 333 - Modern Russian Art,3,N/A,modern
Art History BA,AH 334 - Soviet and Post-Soviet Art,3,N/A,modern
Art History BA,AH 336 - The Art of Fashion,3,N/A,modern
Art History BA,AH 335 - Theories of Modernism,3,"ART 195, and art, art history, graphic design major, art, art history, graphic design minor",modern
Art History BA,AH 342 - Black Subjects in White Art History,3,N/A,modern
Art History BA,AH 351 - Brazilian Art: 1500-2000,3,N/A,modern
Art History BA,"AH 401 - Gender, Art, and Western Culture",3,N/A,modern
Art History BA,AH 342 - Black Subjects in White Art History,3,N/A,contemporary
Art History BA,AH 341 - Contemporary Art: 1970 - Present,3,N/A,contemporary
Art History BA,AH 340 - Contemporary Art: 1945 - 1970,3,N/A,contemporary
Art History BA,"AH 401 - Gender, Art, and Western Culture",3,N/A,contemporary
Art History BA,ART 296 - Contemporary Gallery Practice,3,N/A,contemporary
Art History BA,AH 400 - Cultural Heritage and the Art World,3,N/A,one of the following
Art History BA,AH 429 - Experimental Course,½-3,N/A,one of the following
Biochemistry and Molecular Biology BS,BIOL 204 - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I),3,N/A,requirements
Biochemistry and Molecular Biology BS,"BCHM 208 - Introduction to Molecular Genetics, Lecture and Laboratory",4,N/A,requirements
Biochemistry and Molecular Biology BS,CHEM 230 - Organic Chemistry I,3,"CHEM 150, CHEM 150L ",requirements
Biochemistry and Molecular Biology BS,CHEM 140 - General Chemistry I,3,N/A,requirements
Biochemistry and Molecular Biology BS,CHEM 150 - General Chemistry II,3,"CHEM 140, CHEM 140L ",requirements
Biochemistry and Molecular Biology BS,CHEM 331 - Organic Chemistry II,3,"CHEM 230, CHEM 230L ",requirements
Biochemistry and Molecular Biology BS,"BCHM 335 - Biochemistry I-Biomolecules, Lecture and Laboratory",4,CHEM 331 ,requirements
Biochemistry and Molecular Biology BS,BCHM 336 - Biochemistry II-Biometabolism,3,CHEM 331 ,requirements
Biochemistry and Molecular Biology BS,"BCHM 436 - Molecular Genetics, Lecture and Laboratory",4,"BCHM 208, BCHM 335 ",requirements
Biochemistry and Molecular Biology BS,"BCHM 420 - Physical Biochemistry, Lecture and Laboratory",4,"BCHM 208, BCHM 335, PHYS 108 ",requirements
Biochemistry and Molecular Biology BS,"CHEM 310 - Analytical Chemistry I, Lecture and Laboratory",4,CHEM 230 ,electives
Biochemistry and Molecular Biology BS,"BIOL 330 - General Genetics, Lecture and Laboratory",4,"BIOL 204, BIOL 208 ",electives
Biochemistry and Molecular Biology BS,BCHM 320 - Bioengineering and Biotechnology,3,BCHM 208 ,electives
Biochemistry and Molecular Biology BS,BIOL 302 - Introduction to Bioinformatics,3,"BIOL 208  and either CPSC 230, CPSC 292 ",electives
Biochemistry and Molecular Biology BS,"BIOL 317 - Microbiology, Lecture and Laboratory",4,"BIOL 204, BIOL 208 ",electives
Biochemistry and Molecular Biology BS,BCHM 337 - Immunology,3,"BCHM 208, BIOL 208  and CHEM 230, CHEM 230L ",electives
Biochemistry and Molecular Biology BS,CHEM 338 - Symmetry in Chemistry,3,CHEM 230 ,electives
Biochemistry and Molecular Biology BS,"CHEM 340 - Physical Chemistry-Quantum Chemistry, Lecture and Laboratory",4,"PHYS 102, CHEM 150  and MATH 116, MATH 210 ",electives
Biochemistry and Molecular Biology BS,BCHM 350 - Medicinal Chemistry,3,"CHEM 150, CHEM 331, consent of instructor",electives
Biochemistry and Molecular Biology BS,BCHM 401 - Cancer Biology,3,N/A,electives
Biochemistry and Molecular Biology BS,"CHEM 411 - Analytical Chemistry II, Lecture and Laboratory",4,CHEM 331 ,electives
Biochemistry and Molecular Biology BS,CHEM 432 - Advanced Organic Chemistry,3,CHEM 331 ,electives
Biochemistry and Molecular Biology BS,BCHM 438 - Virology,3,"BCHM 335, and BIOL 208, BCHM 208 ",electives
Biochemistry and Molecular Biology BS,CHEM 444 - Computational Chemistry,3,"CHEM 331, CHEM 331L ",electives
Biochemistry and Molecular Biology BS,BIOL 450 - Cell Biology,3,BIOL 204 ,electives
Biochemistry and Molecular Biology BS,BCHM 487 - Nutrigenomics,3,"BCHM 208, BIOL 208  and BCHM 335 ",electives
Biochemistry and Molecular Biology BS,"PHYS 107 - General Physics for the Life Sciences I, Lecture and Laboratory",4,"MATH 110, MATH 115 ",science requirements
Biochemistry and Molecular Biology BS,MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",science requirements
Biochemistry and Molecular Biology BS,MATH 210 - Multivariable Calculus,3,MATH 111 ,science requirements
Biochemistry and Molecular Biology BS,"PHYS 108 - General Physics for the Life Sciences II, Lecture and Laboratory",4,"PHYS 107, MATH 110, MATH 115 ",science requirements
Biochemistry and Molecular Biology BS,MATH 111 - Single Variable Calculus II,3,"MATH 110, MATH 115 ",science requirements
Biochemistry and Molecular Biology BS,MATH 303 - Biostatistics,3,"MATH 101, equivalent, MATH 109  with a grade C, above",science requirements
Biological Sciences BS,BIOL 204 - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I),3,N/A,biology core
Biological Sciences BS,BIOL 205 - Evolution and Diversity of Multicellular Organisms (Gen Biol II),3,N/A,biology core
Biological Sciences BS,"PHYS 107 - General Physics for the Life Sciences I, Lecture and Laboratory",4,"MATH 110, MATH 115 ",science core
Biological Sciences BS,CHEM 140 - General Chemistry I,3,N/A,science core
Biological Sciences BS,MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",science core
Biological Sciences BS,"PHYS 108 - General Physics for the Life Sciences II, Lecture and Laboratory",4,"PHYS 107, MATH 110, MATH 115 ",science core
Biological Sciences BS,MATH 111 - Single Variable Calculus II,3,"MATH 110, MATH 115 ",science core
Biological Sciences BS,CHEM 150 - General Chemistry II,3,"CHEM 140, CHEM 140L ",science core
Biological Sciences BS,CPSC 292 - Introduction to Exploratory Data Analysis,3,N/A,science core
Biological Sciences BS,CHEM 230 - Organic Chemistry I,3,"CHEM 150, CHEM 150L ",science core
Biological Sciences BS,MATH 303 - Biostatistics,3,"MATH 101, equivalent, MATH 109  with a grade C, above",science core
Biological Sciences BS,BIOL 498 - Capstone Course for Biological Sciences Majors,3,"MATH 303, biological sciences major, senior standing, consent of instructor",capstone course
Biological Sciences BS,"BIOL 208 - Introduction to Molecular Genetics, Lecture and Laboratory",4,"BIOL 204, a score of 4, 5 on the AP, IB Biology exam",molecular biology area of study
Biological Sciences BS,BIOL 224 - Artificial Intelligence in Biology and Medicine: An Introduction,3,N/A,molecular biology area of study
Biological Sciences BS,"BIOL 317 - Microbiology, Lecture and Laboratory",4,"BIOL 204, BIOL 208 ",molecular biology area of study
Biological Sciences BS,BIOL 302 - Introduction to Bioinformatics,3,"BIOL 208  and either CPSC 230, CPSC 292 ",molecular biology area of study
Biological Sciences BS,"BIOL 330 - General Genetics, Lecture and Laboratory",4,"BIOL 204, BIOL 208 ",molecular biology area of study
Biological Sciences BS,"BCHM 335 - Biochemistry I-Biomolecules, Lecture and Laboratory",4,CHEM 331 ,molecular biology area of study
Biological Sciences BS,BCHM 337 - Immunology,3,"BCHM 208, BIOL 208  and CHEM 230, CHEM 230L ",molecular biology area of study
Biological Sciences BS,BIOL 401 - Cancer Biology,3,N/A,molecular biology area of study
Biological Sciences BS,BIOL 417 - Medical Microbiology,3,"BIOL 217, BIOL 317 ",molecular biology area of study
Biological Sciences BS,"BCHM 436 - Molecular Genetics, Lecture and Laboratory",4,"BCHM 208, BCHM 335 ",molecular biology area of study
Biological Sciences BS,BCHM 438 - Virology,3,"BCHM 335, and BIOL 208, BCHM 208 ",molecular biology area of study
Biological Sciences BS,BIOL 450 - Cell Biology,3,BIOL 204 ,molecular biology area of study
Biological Sciences BS,BIOL 345 - Comparative Biomechanics,3,N/A,anatomy and physiology area of study
Biological Sciences BS,BIOL 309 - Hormones and Behavior,3,N/A,anatomy and physiology area of study
Biological Sciences BS,BIOL 365 - Human Physiology Part A,3,N/A,anatomy and physiology area of study
Biological Sciences BS,"BIOL 210 - Human Anatomy, Lecture and Laboratory",4,N/A,anatomy and physiology area of study
Biological Sciences BS,BIOL 343 - Computational Neuroscience,4,N/A,anatomy and physiology area of study
Biological Sciences BS,"BIOL 366 - Human Physiology Part B, Lecture and Laboratory",4,N/A,anatomy and physiology area of study
Biological Sciences BS,BIOL 385 - Comparative Physiology,3,"BIOL 204, BIOL 205, equivalent",anatomy and physiology area of study
Biological Sciences BS,BIOL 407 - Neuroanatomy and Neurophysiology,3,BIOL 204 ,anatomy and physiology area of study
Biological Sciences BS,BIOL 410 - Developmental Biology,3,BIOL 208 ,anatomy and physiology area of study
Biological Sciences BS,BIOL 369 - Evolution: From DNA to Dinosaurs,3,"BIOL 204, BIOL 205 ",ecology and evolution area of study
Biological Sciences BS,"BIOL 319 - Ecosystem Ecology, Lecture and Laboratory",4,BIOL 205 ,ecology and evolution area of study
Biological Sciences BS,"BIOL 338 - Ornithology, Lecture and Laboratory",4,"BIOL 205, consent of instructor",ecology and evolution area of study
Biological Sciences BS,"BIOL 301 - Plant Biology, Lecture and Laboratory",4,BIOL 205 ,ecology and evolution area of study
Biological Sciences BS,"BIOL 324 - Ecology, Lecture and Laboratory",4,BIOL 205 ,ecology and evolution area of study
Biological Sciences BS,"BIOL 433 - Animal Behavior, Lecture and Laboratory",4,BIOL 205 ,ecology and evolution area of study
Biological Sciences BS,"BIOL 440 - Marine Biology, Lecture and Laboratory",4,BIOL 205 ,ecology and evolution area of study
Broadcast Journalism and Documentary BFA,FP 115 - Editing I,3,"FTV 130  and broadcast journalism and documentary, film and television production, film production, screen acting, television and writing production major",core requirements
Broadcast Journalism and Documentary BFA,TWP 114 - Introduction to Television Production: Studio,3,"broadcast journalism and documentary, film and television production, television writing and production major, broadcast journalism minor",core requirements
Broadcast Journalism and Documentary BFA,BRJL 103 - Broadcast News I,3,"television writing and production, broadcast journalism and documentary major, broadcast journalism, documentary film minor",core requirements
Broadcast Journalism and Documentary BFA,"FTV 130 - Introduction to Visual Storytelling, Lecture and Laboratory",3,"DCFMA major, advertising, documentary film, production design for film, television minor",core requirements
